t,i,x_t,z_it,num_firms,entered
1,1,0.601721293739189,0.6441615354718999,3,0
1,2,0.601721293739189,2.8167352386243536,3,0
1,3,0.601721293739189,0.6685396063674311,3,0
1,4,0.601721293739189,0.9414489872520854,3,0
1,5,0.601721293739189,-0.6874948766744219,3,0
1,6,0.601721293739189,-0.5689216191735753,3,0
1,7,0.601721293739189,-0.2187998632474212,3,0
1,8,0.601721293739189,2.9178467577291944,3,0
1,9,0.601721293739189,-2.1710915886883404,3,0
1,10,0.601721293739189,0.1607226296478258,3,0
1,11,0.601721293739189,-3.384646747981861,3,0
1,12,0.601721293739189,2.655195052400914,3,0
1,13,0.601721293739189,-0.817593899754179,3,0
1,14,0.601721293739189,1.9864164727425795,3,0
1,15,0.601721293739189,-0.014212941172587177,3,0
1,16,0.601721293739189,-3.7164010412338806,3,0
1,17,0.601721293739189,-0.6738590998211866,3,0
1,18,0.601721293739189,-3.1765975510986313,3,0
1,19,0.601721293739189,0.1912389812072032,3,0
1,20,0.601721293739189,2.4553408970646227,3,0
1,21,0.601721293739189,4.178611474317318,3,1
1,22,0.601721293739189,2.4190120792314236,3,0
1,23,0.601721293739189,-1.6769479483319107,3,0
1,24,0.601721293739189,0.1608770215115363,3,0
1,25,0.601721293739189,-1.2743880719265581,3,0
1,26,0.601721293739189,3.6371826128636884,3,1
1,27,0.601721293739189,-0.6812235481139638,3,0
1,28,0.601721293739189,-3.6376273375811805,3,0
1,29,0.601721293739189,3.835598939645836,3,1
1,30,0.601721293739189,1.890251696165442,3,0
2,1,1.151618969784438,-1.5262367023259895,4,0
2,2,1.151618969784438,1.4827556760817875,4,0
2,3,1.151618969784438,1.5331455568640957,4,0
2,4,1.151618969784438,-2.3655875912600934,4,0
2,5,1.151618969784438,0.39723796089050295,4,0
2,6,1.151618969784438,-1.5836795434147692,4,0
2,7,1.151618969784438,-0.5953072562145583,4,0
2,8,1.151618969784438,-1.0685706494383245,4,0
2,9,1.151618969784438,-1.0821004738781035,4,0
2,10,1.151618969784438,-2.5135270824514935,4,0
2,11,1.151618969784438,2.525548304650139,4,1
2,12,1.151618969784438,-2.16732147217721,4,0
2,13,1.151618969784438,4.478803381533083,4,1
2,14,1.151618969784438,0.4580588559820645,4,0
2,15,1.151618969784438,0.457003636725052,4,0
2,16,1.151618969784438,0.6002734232147815,4,0
2,17,1.151618969784438,1.990588251539384,4,0
2,18,1.151618969784438,1.0882303064657057,4,0
2,19,1.151618969784438,-1.1669639651878831,4,0
2,20,1.151618969784438,-0.16317071531318775,4,0
2,21,1.151618969784438,0.6137138701239611,4,0
2,22,1.151618969784438,-1.75464925026605,4,0
